Month,Delta Air Lines: (Worldwide)
2010-01,78
2010-02,89
2010-03,88
2010-04,91
2010-05,90
2010-06,92
2010-07,100
2010-08,90
2010-09,85
2010-10,82
2010-11,79
2010-12,89
2011-01,96
2011-02,88
2011-03,90
2011-04,86
2011-05,82
2011-06,89
2011-07,93
2011-08,95
2011-09,79
2011-10,79
2011-11,72
2011-12,74
2012-01,79
2012-02,75
2012-03,79
2012-04,75
2012-05,78
2012-06,79
2012-07,84
2012-08,80
2012-09,72
2012-10,74
2012-11,67
2012-12,65
2013-01,71
2013-02,71
2013-03,80
2013-04,78
2013-05,74
2013-06,77
2013-07,83
2013-08,81
2013-09,66
2013-10,66
2013-11,61
2013-12,65
2014-01,79
2014-02,73
2014-03,71
2014-04,64
2014-05,64
2014-06,68
2014-07,69
2014-08,64
2014-09,61
2014-10,59
2014-11,57
2014-12,59
2015-01,62
2015-02,62
2015-03,64
2015-04,63
2015-05,64
2015-06,67
2015-07,65
2015-08,62
2015-09,58
2015-10,60
2015-11,56
2015-12,58
2016-01,56
2016-02,56
2016-03,57
2016-04,55
2016-05,56
2016-06,59
2016-07,60
2016-08,70
2016-09,55
2016-10,53
2016-11,55
2016-12,54
2017-01,59
2017-02,53
2017-03,56
2017-04,65
2017-05,63
2017-06,60
2017-07,64
2017-08,56
2017-09,56
2017-10,53
2017-11,50
2017-12,50
2018-01,56
2018-02,54
2018-03,58
2018-04,57
2018-05,54
2018-06,55
2018-07,57
2018-08,58
2018-09,54
2018-10,51
2018-11,48
2018-12,48
2019-01,56
2019-02,56
2019-03,59
2019-04,52
2019-05,57
2019-06,59
2019-07,57
2019-08,59
2019-09,52
2019-10,52
2019-11,46
2019-12,51
